70.67,0
70.67,0
70.67,0
70.67,0
70.67,0
70.67,0
70.67,0
70.67,0
69.79,0
70.67,0
71.55,0
71.55,0
72.43,1
73.31,1
73.31,1
73.31,1
74.19,1
74.19,1
74.19,1
75.07,1
75.07,1
75.07,1
75.95,1
75.95,1
75.07,1
75.07,1
75.07,1
75.07,2
74.19,3
74.19,4
74.19,5
74.19,6
74.19,6
74.19,6
73.31,6
73.31,6
73.31,6
73.31,6
73.31,6
73.31,6
73.31,6
72.43,7
72.43,7
72.43,8
73.31,9
73.31,9
72.43,9
72.43,9
72.43,9
72.43,9
71.55,9
72.43,9
72.43,9
72.43,9
71.55,10
72.43,11
71.55,12
72.43,13
71.55,13
71.55,13
71.55,14
71.55,15
72.43,15
71.55,15
